_id,name,address.street,address.city,address.state,address.zip,address.country,phone,website,type,departments[0],departments[1],departments[2],departments[3],departments[4],departments[5],bedCount,createdAt,mapLink
67cc8c1470dbada60633aed8,PRS Hospital,Killipalam,Thiruvananthapuram,Kerala,695002,India,+91-471-233-1234,https://www.prshospital.org,Private,General Medicine,Surgery,Gynecology,Orthopedics,Pediatrics,,200,2025-03-07T00:00:00Z,https://www.google.com/maps/place/PRS+Hospital+Thiruvananthapuram
67cc8c1470dbada60633aed9,Santhwana Hospital Private Ltd,Pettah,Thiruvananthapuram,Kerala,695024,India,+91-471-274-1234,N/A,Private,General Medicine,Surgery,Gynecology,Pediatrics,,,80,2025-03-07T00:00:00Z,https://www.google.com/maps/place/Santhwana+Hospital+Private+Ltd+Thiruvananthapuram
67cc8c1470dbada60633aeda,Saraswathy Hospital,Parassala,Thiruvananthapuram,Kerala,695502,India,+91-471-220-1234,N/A,Private,General Medicine,Gynecology,Orthopedics,Pediatrics,,,120,2025-03-07T00:00:00Z,https://www.google.com/maps/place/Saraswathy+Hospital+Thiruvananthapuram
67cc8c1470dbada60633aedb,SP Fort Hospital,Fort,Thiruvananthapuram,Kerala,695023,India,+91-471-247-1234,https://spforthospital.com,Private,General Medicine,Cardiology,Neurology,Orthopedics,Gynecology,,200,2025-03-07T00:00:00Z,https://www.google.com/maps/place/SP+Fort+Hospital+Thiruvananthapuram
67cc8c1470dbada60633aedc,Sree Uthradom Thirunal Hospital,Pattom,Thiruvananthapuram,Kerala,695004,India,+91-471-244-6225,http://www.suthospital.com,Private,General Medicine,Cardiology,Neurology,Orthopedics,Gynecology,Pediatrics,300,2025-03-07T00:00:00Z,https://www.google.com/maps/place/Sree+Uthradom+Thirunal+Hospital+Thiruvananthapuram
67cc8c1470dbada60633aedd,SUT Mother and Baby Hospital,Pattom,Thiruvananthapuram,Kerala,695004,India,+91-471-244-6122,N/A,Private,Gynecology,Obstetrics,Pediatrics,Neonatology,,,150,2025-03-07T00:00:00Z,https://www.google.com/maps/place/SUT+Mother+and+Baby+Hospital+Thiruvananthapuram
67cc8c1470dbada60633aee2,SK Hospital,Edappazhanji,Thiruvananthapuram,Kerala,695014,India,+91-471-XXX-XXXX,N/A,Private,General Medicine,Surgery,Gynecology,,,,150,2025-03-07T00:00:00Z,https://www.google.com/maps/place/SK+Hospital+Thiruvananthapuram
67cc8c1470dbada60633aee3,"CSI Mission Hospital, Karakonam",Karakonam,Thiruvananthapuram,Kerala,695504,India,+91-471-XXX-XXXX,N/A,Private / Mission,General Medicine,Surgery,Community Health,,,,250,2025-03-07T00:00:00Z,https://www.google.com/maps/place/CSI+Mission+Hospital+Karakonam
67cc8c1470dbada60633aee4,"NMS (Nehru Memorial) Hospital, Neyyattinkara",Neyyattinkara,Thiruvananthapuram,Kerala,695121,India,+91-471-XXX-XXXX,N/A,Private,General Medicine,Gynecology,Pediatrics,,,,100,2025-03-07T00:00:00Z,https://www.google.com/maps/place/NMS+Hospital+Neyyattinkara
67cc8c1470dbada60633aee5,"Holy Cross Hospital, Vettinadu",Vettinadu,Thiruvananthapuram,Kerala,695028,India,+91-471-XXX-XXXX,N/A,Private / Mission,General Medicine,Maternity,Pediatrics,,,,120,2025-03-07T00:00:00Z,https://www.google.com/maps/place/Holy+Cross+Hospital+Vettinadu
67cc8c1470dbada60633aee6,Padmanabha Hospital,Kesavadasapuram,Thiruvananthapuram,Kerala,695004,India,+91-471-XXX-XXXX,N/A,Private,General Medicine,Surgery,Gynecology,,,,80,2025-03-07T00:00:00Z,https://www.google.com/maps/place/Padmanabha+Hospital+Thiruvananthapuram
67cc8c1470dbada60633aee7,Sree Gokulam Medical College & Research Foundation,Venjaramoodu,Thiruvananthapuram,Kerala,695607,India,+91-471-XXX-XXXX,http://www.sgmc.in,Private,General Medicine,Surgery,Cardiology,Orthopedics,,,600,2025-03-07T00:00:00Z,https://www.google.com/maps/place/Sree+Gokulam+Medical+College+%26+Research+Foundation
67cc8c1470dbada60633aee8,"CSI Medical College & Hospital, Karakonam",Karakonam,Thiruvananthapuram,Kerala,695504,India,+91-471-XXX-XXXX,http://www.csimck.org,Private / Mission,General Medicine,Surgery,OBG,Pediatrics,,,300,2025-03-07T00:00:00Z,https://www.google.com/maps/place/CSI+Medical+College+%26+Hospital+Karakonam
67cc8c1470dbada60633aee9,Dr. Somervell Memorial CSI Hospital,Karakonam,Thiruvananthapuram,Kerala,695504,India,+91-471-XXX-XXXX,N/A,Private / Mission,General Medicine,Surgery,Gynecology,,,,250,2025-03-07T00:00:00Z,https://www.google.com/maps/place/Dr.+Somervell+Memorial+CSI+Hospital+Karakonam
67cc8c1470dbada60633aeea,Sri Ramakrishna Ashrama Charitable Hospital,Sasthamangalam,Thiruvananthapuram,Kerala,695010,India,+91-471-XXX-XXXX,N/A,Charitable Trust / Private,General Medicine,Outpatient Clinics,,,,,50,2025-03-07T00:00:00Z,https://www.google.com/maps/place/Sri+Ramakrishna+Ashrama+Charitable+Hospital+Thiruvananthapuram
67cc8c1470dbada60633aeeb,Saraswathy Mission Hospital,Vazhuthacaud,Thiruvananthapuram,Kerala,695014,India,+91-471-XXX-XXXX,N/A,Private,Maternity,General Medicine,,,,,60,2025-03-07T00:00:00Z,https://www.google.com/maps/place/Saraswathy+Mission+Hospital+Vazhuthacaud
